OBJECTID,longitude,latitude
1,33.78189592,-84.36860876
2,33.78622545,-84.37077566
3,33.78955282,-84.37041656
4,33.79383625,-84.37033765
5,33.80966267,-84.37739877
6,33.81060783,-84.37479059
7,33.81239158,-84.37280722
8,33.81290734,-84.37440316
9,33.81755287,-84.36878525
10,33.81745093,-84.36834836
11,33.81799883,-84.36959843
12,33.81868366,-84.37054642
13,33.82000467,-84.37064
14,33.81362543,-84.38890378
15,33.81292181,-84.38893582
16,33.81251069,-84.3892005
17,33.81246335,-84.38925524
18,33.81235375,-84.38955652
19,33.81234679,-84.39027705
20,33.81230866,-84.39182197
21,33.8123048,-84.39214433
22,33.81226814,-84.39239279
23,33.81216542,-84.39300331
24,33.8120172,-84.39369855
25,33.81195933,-84.3947567
26,33.81186491,-84.39569837
27,33.8119122,-84.39583115
28,33.81292251,-84.39746879
29,33.81338168,-84.39747673
30,33.79785608,-84.40770688
31,33.79728624,-84.40770355
32,33.7930198,-84.41427647
33,33.79212831,-84.42209357
34,33.79156572,-84.42790877
35,33.79073217,-84.42927774
36,33.78948386,-84.42856119
37,33.78916732,-84.42841006
38,33.78853035,-84.4280477
39,33.78334125,-84.4291452
40,33.77821684,-84.42672601
41,33.77696657,-84.42614989
42,33.77559276,-84.42602215
43,33.76906009,-84.42295447
44,33.76347199,-84.42402892
45,33.76256599,-84.42394197
46,33.73906125,-84.43315345
47,33.73895581,-84.43300997
48,33.73258516,-84.42403378
49,33.73163599,-84.42251994
50,33.73108452,-84.4217586
51,33.73066008,-84.42114758
52,33.72919227,-84.41883659
53,33.72543313,-84.41355279
54,33.72222922,-84.41092045
55,33.72027343,-84.40155911
56,33.71937633,-84.39517839
57,33.71950263,-84.39338007
58,33.72164013,-84.38818693
59,33.72321077,-84.38505451
60,33.72425217,-84.38211955
61,33.72432155,-84.37855854
62,33.72622317,-84.36842628
63,33.72827625,-84.36381092
64,33.73298782,-84.36048657
65,33.73367122,-84.36024123
66,33.73650363,-84.35930265
67,33.73975911,-84.35833868
68,33.74050419,-84.35823798
69,33.73987564,-84.35824765
70,33.74065544,-84.35823565
71,33.74096058,-84.35823096
72,33.74184435,-84.35828028
73,33.7419526,-84.35821569
74,33.74292649,-84.3582237
75,33.74405991,-84.3582295
76,33.74653767,-84.3582002
77,33.74660703,-84.35832366
78,33.75021101,-84.35738608
79,33.75254718,-84.35760458
80,33.75251843,-84.35711578
81,33.75253886,-84.3582319
82,33.75255689,-84.35902773
83,33.75249839,-84.35908775
84,33.7525999,-84.3601439
85,33.75263458,-84.36105818
86,33.75247089,-84.36225443
87,33.75240985,-84.36215433
88,33.75219622,-84.36338395
89,33.75379627,-84.36519119
90,33.7575615,-84.36488126
91,33.76052532,-84.36278133
92,33.77084916,-84.36370983
93,33.78114709,-84.36786441
94,33.7534833,-84.3638989
95,33.76133244,-84.36163572
96,33.74531966,-84.35813498
97,33.7543699,-84.36528962
