OBJECTID,longitude,latitude
1,33.78189592,-84.36860876
2,33.78955282,-84.37041656
3,33.79383625,-84.37033765
4,33.80966267,-84.37739877
5,33.81060783,-84.37479059
6,33.81239158,-84.37280722
7,33.81290734,-84.37440316
8,33.81755287,-84.36878525
9,33.81745093,-84.36834836
10,33.81799883,-84.36959843
11,33.81868366,-84.37054642
12,33.82000467,-84.37064
13,33.81362543,-84.38890378
14,33.81292181,-84.38893582
15,33.81251069,-84.3892005
16,33.81246335,-84.38925524
17,33.81235375,-84.38955652
18,33.81234679,-84.39027705
19,33.81230866,-84.39182197
20,33.8123048,-84.39214433
21,33.81226814,-84.39239279
22,33.81292251,-84.39746879
23,33.81338168,-84.39747673
24,33.79785608,-84.40770688
25,33.79728624,-84.40770355
26,33.7930198,-84.41427647
27,33.79212831,-84.42209357
28,33.79156572,-84.42790877
29,33.79068482,-84.42945071
30,33.78916732,-84.42841006
31,33.78853035,-84.4280477
32,33.78334125,-84.4291452
33,33.77821684,-84.42672601
34,33.77696657,-84.42614989
35,33.77559276,-84.42602215
36,33.76347199,-84.42402892
37,33.76256599,-84.42394197
38,33.73906125,-84.43315345
39,33.73895581,-84.43300997
40,33.73258516,-84.42403378
41,33.72543313,-84.41355279
42,33.72222922,-84.41092045
43,33.71950263,-84.39338007
44,33.72164013,-84.38818693
45,33.72321077,-84.38505451
46,33.72432155,-84.37855854
47,33.72622317,-84.36842628
48,33.72827625,-84.36381092
49,33.73650363,-84.35930265
50,33.73975911,-84.35833868
51,33.74050419,-84.35823798
52,33.73987564,-84.35824765
53,33.74065544,-84.35823565
54,33.74096058,-84.35823096
55,33.74184435,-84.35828028
56,33.7419526,-84.35821569
57,33.74405991,-84.3582295
58,33.74653767,-84.3582002
59,33.74660703,-84.35832366
60,33.75021101,-84.35738608
61,33.75254718,-84.35760458
62,33.75251843,-84.35711578
63,33.75253886,-84.3582319
64,33.75255689,-84.35902773
65,33.75249839,-84.35908775
66,33.7525999,-84.3601439
67,33.75263458,-84.36105818
68,33.75247089,-84.36225443
69,33.75240985,-84.36215433
70,33.75219622,-84.36338395
71,33.75379627,-84.36519119
72,33.7575615,-84.36488126
73,33.77084916,-84.36370983
74,33.78114709,-84.36786441
75,33.7534833,-84.3638989
76,33.74531966,-84.35813498
77,33.7543699,-84.36528962
